"Gene","Phenotype","Category"
"ABCB4","131675#Source of report of K80 cholelithiasis","Chapter XI Diseases of the digestive system"
"ABCB4","131675#Source of report of K80 cholelithiasis","Chapter XI Diseases of the digestive system"
"ABCB4","131675#Source of report of K80 cholelithiasis","Chapter XI Diseases of the digestive system"
"ABCB4","131675#Source of report of K80 cholelithiasis","Chapter XI Diseases of the digestive system"
"ABCB4","131675#Source of report of K80 cholelithiasis","Chapter XI Diseases of the digestive system"
"ABCB4","20002#1161#gall bladder disease","Chapter XI Diseases of the digestive system"
"ABCB4","20002#1161#gall bladder disease","Chapter XI Diseases of the digestive system"
"ABCB4","20002#1161#gall bladder disease","Chapter XI Diseases of the digestive system"
"ABCB4","20002#1162#cholelithiasis|gall stones","Chapter XI Diseases of the digestive system"
"ABCB4","20002#1162#cholelithiasis|gall stones","Chapter XI Diseases of the digestive system"
"ABCB4","20002#1162#cholelithiasis|gall stones","Chapter XI Diseases of the digestive system"
"ABCB4","41202#Block K80-K87#K80-K87 Disorders of gallbladder| biliary tract and pancreas","Chapter XI Diseases of the digestive system"
"ABCB4","41202#Block K80-K87#K80-K87 Disorders of gallbladder| biliary tract and pancreas","Chapter XI Diseases of the digestive system"
"ABCB4","41202#Block K80-K87#K80-K87 Disorders of gallbladder| biliary tract and pancreas","Chapter XI Diseases of the digestive system"
"ABCB4","41202#Block K80-K87#K80-K87 Disorders of gallbladder| biliary tract and pancreas","Chapter XI Diseases of the digestive system"
"ABCB4","41202#Block K80-K87#K80-K87 Disorders of gallbladder| biliary tract and pancreas","Chapter XI Diseases of the digestive system"
"ABCB4","41202#K80#Cholelithiasis","Chapter XI Diseases of the digestive system"
"ABCB4","41202#K80#Cholelithiasis","Chapter XI Diseases of the digestive system"
"ABCB4","41202#K80#Cholelithiasis","Chapter XI Diseases of the digestive system"
"ABCB4","union#Block K80-K87#K80-K87 Disorders of gallbladder| biliary tract and pancreas","Chapter XI Diseases of the digestive system"
"ABCB4","union#Block K80-K87#K80-K87 Disorders of gallbladder| biliary tract and pancreas","Chapter XI Diseases of the digestive system"
"ABCB4","union#Block K80-K87#K80-K87 Disorders of gallbladder| biliary tract and pancreas","Chapter XI Diseases of the digestive system"
"ABCB4","union#Block K80-K87#K80-K87 Disorders of gallbladder| biliary tract and pancreas","Chapter XI Diseases of the digestive system"
"ABCB4","union#Block K80-K87#K80-K87 Disorders of gallbladder| biliary tract and pancreas","Chapter XI Diseases of the digestive system"
"ABCB4","union#K80#Cholelithiasis","Chapter XI Diseases of the digestive system"
