"Gene","Phenotype","Category"
"A1CF","30730#Gamma glutamyltransferase","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"A1CF","30730#Gamma glutamyltransferase","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"A1CF","30730#Gamma glutamyltransferase","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"A1CF","30730#Gamma glutamyltransferase","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"A1CF","30730#Gamma glutamyltransferase","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23400#NMR Total Cholesterol","NMR Metabolomics"
"ABCA1","23400#NMR Total Cholesterol","NMR Metabolomics"
"ABCA1","23400#NMR Total Cholesterol","NMR Metabolomics"
"ABCA1","23400#NMR Total Cholesterol","NMR Metabolomics"
"ABCA1","23400#Total Cholesterol","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23400#Total Cholesterol","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23400#Total Cholesterol","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23400#Total Cholesterol","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23406#HDL Cholesterol","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23406#HDL Cholesterol","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23406#HDL Cholesterol","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23406#HDL Cholesterol","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23406#HDL Cholesterol","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23406#HDL Cholesterol","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23406#HDL Cholesterol","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23406#HDL Cholesterol","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23406#HDL Cholesterol","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23406#NMR HDL Cholesterol","NMR Metabolomics"
"ABCA1","23406#NMR HDL Cholesterol","NMR Metabolomics"
"ABCA1","23406#NMR HDL Cholesterol","NMR Metabolomics"
"ABCA1","23406#NMR HDL Cholesterol","NMR Metabolomics"
"ABCA1","23406#NMR HDL Cholesterol","NMR Metabolomics"
"ABCA1","23406#NMR HDL Cholesterol","NMR Metabolomics"
"ABCA1","23406#NMR HDL Cholesterol","NMR Metabolomics"
"ABCA1","23406#NMR HDL Cholesterol","NMR Metabolomics"
"ABCA1","23406#NMR HDL Cholesterol","NMR Metabolomics"
"ABCA1","23411#NMR Total Phospholipids in Lipoprotein Particles","NMR Metabolomics"
"ABCA1","23411#NMR Total Phospholipids in Lipoprotein Particles","NMR Metabolomics"
"ABCA1","23411#NMR Total Phospholipids in Lipoprotein Particles","NMR Metabolomics"
"ABCA1","23411#NMR Total Phospholipids in Lipoprotein Particles","NMR Metabolomics"
"ABCA1","23411#NMR Total Phospholipids in Lipoprotein Particles","NMR Metabolomics"
"ABCA1","23411#NMR Total Phospholipids in Lipoprotein Particles","NMR Metabolomics"
"ABCA1","23411#Total Phospholipids in Lipoprotein Particles","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23411#Total Phospholipids in Lipoprotein Particles","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23411#Total Phospholipids in Lipoprotein Particles","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23411#Total Phospholipids in Lipoprotein Particles","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23411#Total Phospholipids in Lipoprotein Particles","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23411#Total Phospholipids in Lipoprotein Particles","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23411#Total Phospholipids in Lipoprotein Particles","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23414#NMR Phospholipids in HDL","NMR Metabolomics"
"ABCA1","23414#NMR Phospholipids in HDL","NMR Metabolomics"
"ABCA1","23414#NMR Phospholipids in HDL","NMR Metabolomics"
"ABCA1","23414#NMR Phospholipids in HDL","NMR Metabolomics"
"ABCA1","23414#NMR Phospholipids in HDL","NMR Metabolomics"
"ABCA1","23414#NMR Phospholipids in HDL","NMR Metabolomics"
"ABCA1","23414#NMR Phospholipids in HDL","NMR Metabolomics"
"ABCA1","23414#NMR Phospholipids in HDL","NMR Metabolomics"
"ABCA1","23414#NMR Phospholipids in HDL","NMR Metabolomics"
"ABCA1","23414#Phospholipids in HDL","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23414#Phospholipids in HDL","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23414#Phospholipids in HDL","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23414#Phospholipids in HDL","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23414#Phospholipids in HDL","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23414#Phospholipids in HDL","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23414#Phospholipids in HDL","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23414#Phospholipids in HDL","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23414#Phospholipids in HDL","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ABCA1","23415#NMR Total Esterified Cholesterol","NMR Metabolomics"
"ABCA1","23415#NMR Total Esterified Cholesterol","NMR Metabolomics"
